name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,bread_suggestion_english,bread_suggestion_arabic,tags,Column1,_1,meal,Column2,_2,Column3,_3
High-Protein Breakfast Bowl (Quinoa & Eggs - 350g),وعاء إفطار عالي البروتين (كينوا وبيض - 350 جرام),370,22,17,33,"Quinoa bowl (200g cooked quinoa) with scrambled eggs (2), avocado (50g), black beans (50g), and salsa (30g).",وعاء كينوا (200 جرام كينوا مطبوخة) مع بيض مخفوق (2) وأفوكادو (50 جرام) وفاصوليا سوداء (50 جرام) وصلصة (30 جرام).,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,moderate-carb,breakfast,bowl",,,breakfast,,,,
Overnight Oats with Chia Seeds and Fruit (300g),شوفان ليلي مع بذور الشيا والفواكه (300 جرام),320,11,11,48,"Overnight oats made with rolled oats (50g), chia seeds (10g), milk (200ml dairy or non-dairy), and topped with fruit (40g mixed fruit) in the morning.",شوفان ليلي مصنوع من الشوفان الكامل (50 جرام) وبذور الشيا (10 جرام) والحليب (200 مل ألبان أو غير ألبان) ومغطى بالفواكه (40 جرام فواكه مشكلة) في الصباح.,american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,moderate-fat,high-carb,breakfast,overnight,fiber-rich",,,breakfast,,,,
Whole Wheat Toast with Peanut Butter and Banana (2 slices),توست قمح كامل بزبدة الفول السوداني والموز (2 شريحة),280,10,14,34,Whole wheat toast (2 slices - approx. 70g bread) topped with peanut butter (2 tbsp - 32g) and sliced banana (50g).,توست قمح كامل (2 شريحة - حوالي 70 جرام خبز) مغطى بزبدة الفول السوداني (2 ملعقة كبيرة - 32 جرام) والموز المقطع (50 جرام).,american,2 slices toast + toppings,2 شريحة توست + الإضافات,Already includes bread (toast),يحتوي بالفعل على خبز (توست),"vegetarian,vegan,moderate-protein,moderate-fat,moderate-carb,breakfast,quick",,,breakfast,,,,
Breakfast Salad with Grilled Halloumi (300g),سلطة إفطار مع حلوم مشوي (300 جرام),350,24,22,17,"Mixed greens salad (150g) with grilled halloumi cheese (80g), cherry tomatoes (40g), cucumbers (30g), and a light vinaigrette (2 tbsp).",سلطة خضراء مشكلة (150 جرام) مع جبنة حلوم مشوية (80 جرام) وطماطم كرزية (40 جرام) وخيار (30 جرام) وصلصة فينيجريت خفيفة (2 ملعقة كبيرة).,american/mediterranean,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,high-fat,moderate-carb,breakfast,salad,mediterranean",,,breakfast,,,,
Smoked Salmon and Avocado Toast (Whole Wheat - 1 slice),توست سلمون مدخن وأفوكادو (قمح كامل - 1 شريحة),380,20,22,28,"Whole wheat toast (1 slice - approx. 35g bread) topped with mashed avocado (50g), smoked salmon (50g), and a squeeze of lemon juice (5ml).",توست قمح كامل (1 شريحة - حوالي 35 جرام خبز) مغطى بالأفوكادو المهروس (50 جرام) والسلمون المدخن (50 جرام) وعصير الليمون (5 مل).,american,1 slice toast + toppings,1 شريحة توست + الإضافات,Already includes bread (toast),يحتوي بالفعل على خبز (توست),"high-protein,high-fat,moderate-carb,breakfast,omega-3",,,breakfast,,,,
Protein Smoothie (Whey & Fruit - 350ml),سموذي بروتين (مصل اللبن والفواكه - 350 مل),320,32,9,30,"Protein smoothie made with whey protein powder (30g), milk (200ml), banana (1 medium - 120g), and berries (50g).",سموذي بروتين مصنوع من مسحوق بروتين مصل اللبن (30 جرام) والحليب (200 مل) والموز (1 متوسط - 120 جرام) والتوت (50 جرام).,american,350ml serving,350 مل للوجبة,No bread suggested,لا يقترح خبز,"high-protein,low-fat,moderate-carb,breakfast,smoothie",,,breakfast,,,,
Breakfast Frittata with Vegetables (1 slice - 200g),فريتاتا إفطار بالخضروات (1 شريحة - 200 جرام),350,22,24,12,"Frittata baked with eggs (2), mixed vegetables (100g peppers, onions, zucchini), and a sprinkle of cheese (20g). Serving size is one slice (approx. 200g).","فريتاتا مخبوزة بالبيض (2) والخضروات المشكلة (100 جرام فلفل، بصل، كوسة) ورشة جبن (20 جرام). حجم الوجبة شريحة واحدة (حوالي 200 جرام).",american/italian,1 slice (approx. 200g),1 شريحة (حوالي 200 جرام),No bread suggested,لا يقترح خبز,"vegetarian,high-protein,high-fat,low-carb,breakfast,italian",,,breakfast,,,,
Lentil Soup (Breakfast Style - 300ml),شوربة عدس (على طريقة الإفطار - 300 مل),270,17,9,33,Hearty lentil soup (300ml) seasoned with cumin and lemon. Can be served with 50g whole wheat bread (1 slice).,شوربة عدس دسمة (300 مل) متبلة بالكمون والليمون. يمكن تقديمها مع 50 جرام خبز القمح الكامل (1 شريحة).,egyptian/middle_eastern,300ml soup serving,300 مل شوربة للوجبة,50g whole wheat bread (1 slice - optional),50 جرام خبز القمح الكامل (1 شريحة - اختياري),"vegan,vegetarian,high-protein,moderate-fat,moderate-carb,breakfast,soup,fiber-rich",,,breakfast,,,,
Scrambled Eggs with Cheese and Toast (American - 350g),بيض مخفوق مع الجبن والخبز المحمص (أمريكي - 350 جرام),400,22,27,20,Scrambled eggs (2 large) with cheese (30g cheddar) and served with 2 slices of whole wheat toast (70g).,بيض مخفوق (2 كبير) مع جبن (30 جرام شيدر) ويقدم مع شريحتين من خبز القمح الكامل المحمص (70 جرام).,american,350g serving,350 جرام للوجبة,Already includes bread (toast),يحتوي بالفعل على خبز (توست),"high-protein,high-fat,moderate-carb,breakfast",,,breakfast,,,,
Oatmeal with Berries and Nuts (American - 300g),شوفان مع التوت والمكسرات (أمريكي - 300 جرام),340,11,13,48,Cooked oatmeal (200g) topped with berries (50g) and nuts (20g mixed nuts).,شوفان مطبوخ (200 جرام) مغطى بالتوت (50 جرام) والمكسرات (20 جرام مكسرات مشكلة).,american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,vegan,moderate-protein,moderate-fat,high-carb,breakfast",,,breakfast,,,,
Whole Wheat French Toast (American - 2 slices),توست فرنسي (أمريكي - 2 شريحة),380,13,12,60,Whole-wheat French toast (2 slices - approx. 80g bread) served with a drizzle of syrup (2 tbsp - 30ml) and fruit (30g).,توست فرنسي بالقمح الكامل (2 شريحة - حوالي 80 جرام خبز) يقدم مع رشة شراب (2 ملعقة كبيرة - 30 مل) وفاكهة (30 جرام).,american,2 slices French toast + toppings,2 شريحة توست فرنسي + الإضافات,Already includes bread (French toast),يحتوي بالفعل على خبز (توست فرنسي),"vegetarian,moderate-protein,moderate-fat,high-carb,breakfast",,,breakfast,,,,
Whole Wheat Bagel with Avocado (American - 1 bagel),خبز البيغل مع الأفوكادو (أمريكي - 1 بيغل),300,9,13,38,Toasted whole-wheat bagel (1 medium - approx. 80g) and spread with mashed avocado (50g).,خبز البيغل المصنوع من القمح الكامل المحمص (1 متوسط - حوالي 80 جرام) ومدهون بالأفوكادو المهروس (50 جرام).,american,1 bagel serving,1 وجبة بيغل,Already includes bread (bagel),يحتوي بالفعل على خبز (بيغل),"vegetarian,vegan,moderate-protein,moderate-fat,moderate-carb,breakfast",,,breakfast,,,,
Egg and Veggie Breakfast Sandwich (American - 1 sandwich),ساندويتش الإفطار (أمريكي - 1 ساندويتش),380,22,17,38,"Make a sandwich with a fried egg (1 large), spinach (20g), tomato (30g), and a slice of low-fat cheese (20g) on a whole-wheat English muffin (1 muffin - approx. 60g).",اصنع ساندويتش ببيضة مقلية (1 كبير) وسبانخ (20 جرام) وطماطم (30 جرام) وشريحة جبن قليل الدسم (20 جرام) على مافن إنجليزي من القمح الكامل (1 مافن - حوالي 60 جرام).,american,1 sandwich serving,1 وجبة ساندويتش,Already includes bread (English muffin),يحتوي بالفعل على خبز (مافن إنجليزي),"high-protein,moderate-fat,moderate-carb,breakfast",,,breakfast,,,,
High-Protein Waffles (American - 2 waffles),وافل (أمريكي - 2 وافل),340,22,11,40,Prepare waffle batter using protein powder (20g) and whole wheat flour. Serve with berries (30g). Serving size is 2 medium waffles (approx. 120g waffles)., جهز عجينة الوافل باستخدام مسحوق البروتين (20 جرام) ودقيق القمح الكامل. تقدم مع التوت (30 جرام). حجم الوجبة 2 وافل متوسط (حوالي 120 جرام وافل).,american,2 waffles + toppings,2 وافل + الإضافات,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,moderate-carb,breakfast",,,breakfast,,,,
Keto Scrambled Eggs with Avocado,بيض مخفوق كيتو مع الأفوكادو,350,22,28,5,Scrambled eggs (2 large) cooked in butter with diced avocado (1/2 medium avocado - approx. 70g).,بيض مخفوق (2 كبير) مطبوخ بالزبدة مع أفوكادو مقطع (1/2 أفوكادو متوسط - حوالي 70 جرام).,keto,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"keto,high-protein,high-fat,very-low-carb,breakfast",,,breakfast,,,,
Greek Yogurt with Nuts and Seeds,زبادي يوناني بالمكسرات والبذور,320,20,15,12,Greek yogurt (200g) topped with mixed nuts (30g) and seeds (10g - flax, chia, or pumpkin seeds).,زبادي يوناني (200 جرام) مغطى بالمكسرات المشكلة (30 جرام) والبذور (10 جرام - بذور الكتان أو الشيا أو اليقطين).,mediterranean,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,low-carb,breakfast,mediterranean",,,breakfast,,
Oatmeal with Chia and Berries,شوفان مع الشيا والتوت,370,18,9,50,Cooked oatmeal (200g) with chia seeds (10g) and topped with mixed berries (50g).,شوفان مطبوخ (200 جرام) مع بذور الشيا (10 جرام) ومغطى بالتوت المشكل (50 جرام).,american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,moderate-protein,low-fat,high-carb,breakfast,fiber-rich",,,breakfast,,,,
High-Protein Egg Muffins (3 muffins),مافن البيض عالي البروتين (3 مافن),380,30,25,10,"Egg muffins (3 muffins) made with eggs (3), spinach (50g), feta cheese (30g), and diced chicken breast (50g). Baked until set.","مافن البيض (3 مافن) مصنوع من البيض (3)، سبانخ (50 جرام)، جبنة فيتا (30 جرام)، وصدور دجاج مقطعة (50 جرام). يُخبز حتى يتماسك.",american,3 muffins serving,3 مافن للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,breakfast,make-ahead",,,breakfast,,,,
Steak and Eggs (150g Steak + 2 Eggs),ستيك وبيض (150 جرام ستيك + 2 بيضة),520,45,35,5,Grilled steak (150g sirloin or ribeye) served with two fried eggs. Season steak with salt and pepper.,ستيك مشوي (150 جرام سيرلوين أو ريب آي) يقدم مع بيضتين مقليتين. تبّل الستيك بالملح والفلفل.,american,1 serving (steak and eggs),1 وجبة (ستيك وبيض),No bread suggested,لا يقترح خبز,"high-protein,high-fat,very-low-carb,breakfast,keto",,,breakfast,,,,
Tofu Scramble with Black Beans (300g),توفو مخفوق مع الفاصوليا السوداء (300 جرام),300,20,15,25,"Tofu scramble (250g tofu) seasoned with turmeric and cumin, mixed with black beans (50g) and topped with salsa (optional).","توفو مخفوق (250 جرام توفو) متبل بالكركم والكمون، مخلوط بالفاصوليا السوداء (50 جرام) ومغطى بالصلصة (اختياري).",vegan,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,high-protein,moderate-fat,moderate-carb,breakfast",,,breakfast,,,,
High-Protein Yogurt Parfait (400g),بارفيه زبادي عالي البروتين (400 جرام),420,35,18,30,"Layered parfait with Greek yogurt (250g), protein granola (50g), mixed berries (50g), and almonds (20g).","بارفيه طبقات من الزبادي اليوناني (250 جرام)، جرانولا بروتين (50 جرام)، توت مشكل (50 جرام)، ولوز (20 جرام).",american,400g serving,400 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,moderate-carb,breakfast",,,breakfast,,,,
Chicken Sausage and Egg Scramble (350g),بيض مخفوق مع نقانق دجاج (350 جرام),380,32,25,8,Scrambled eggs (2 large) with sliced chicken sausage (100g) and spinach (50g).,بيض مخفوق (2 كبير) مع شرائح نقانق دجاج (100 جرام) وسبانخ (50 جرام).,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,breakfast",,,breakfast,,,,
Breakfast Burrito (High-Protein - 1 burrito),بوريتو إفطار عالي البروتين (1 بوريتو),550,35,30,40,"Large whole wheat tortilla (80g) filled with scrambled eggs (3), grilled chicken or lean beef (80g), black beans (50g), cheese (30g), and salsa (30g).","تورتيلا قمح كامل كبيرة (80 جرام) محشوة بالبيض المخفوق (3)، دجاج مشوي أو لحم بقري قليل الدهن (80 جرام)، فاصوليا سوداء (50 جرام)، جبن (30 جرام)، وصلصة (30 جرام).",mexican/american,1 burrito serving,1 وجبة بوريتو,No bread suggested,لا يقترح خبز,"high-protein,high-fat,moderate-carb,breakfast,mexican",,,breakfast,,,,
Cottage Cheese and Peach Bowl (300g),وعاء جبن قريش وخوخ (300 جرام),280,25,8,28,Cottage cheese (200g) topped with sliced peaches (1 medium peach - approx. 80g) and a sprinkle of cinnamon.,جبن قريش (200 جرام) مغطى بشرائح الخوخ (1 خوخ متوسط - حوالي 80 جرام) ورشة قرفة.,american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,low-fat,moderate-carb,breakfast",,,breakfast,,,,
Breakfast Pizza (Whole Wheat Crust - 1 slice),بيتزا إفطار (قشرة قمح كامل - 1 شريحة),350,18,15,40,"Whole wheat pizza crust (1 slice - approx. 70g) topped with tomato sauce (30g), mozzarella cheese (30g), eggs (1 scrambled), and vegetables (50g peppers, onions).","قشرة بيتزا قمح كامل (1 شريحة - حوالي 70 جرام) مغطاة بصلصة الطماطم (30 جرام) وجبن الموزاريلا (30 جرام) والبيض (1 مخفوق) والخضروات (50 جرام فلفل، بصل).",american/italian,1 slice pizza,1 شريحة بيتزا,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,italian",,,breakfast,,,,
Breakfast Tacos (2 tacos),تاكو إفطار (2 تاكو),420,25,20,40,"Two small whole wheat tortillas (approx. 40g each) filled with scrambled eggs (2), chorizo (40g), cheese (20g), and salsa (30g).",اثنان من خبز التورتيلا القمح الكامل الصغير (حوالي 40 جرام لكل منهما) محشوة بالبيض المخفوق (2) والكوريزو (40 جرام) والجبن (20 جرام) والصلصة (30 جرام).,mexican,2 tacos serving,2 وجبة تاكو,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,breakfast,mexican",,,breakfast,,,,
Breakfast Crepes (2 crepes),كريب إفطار (2 كريب),380,15,18,40,"Two whole wheat crepes (approx. 80g total) filled with ricotta cheese (50g) and berries (50g), lightly sweetened (1 tsp honey).",اثنان من الكريب القمح الكامل (حوالي 80 جرام إجمالي) محشوة بجبنة الريكوتا (50 جرام) والتوت (50 جرام) ومحلاة قليلاً (1 ملعقة صغيرة عسل).,french,2 crepes serving,2 وجبة كريب,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,french",,,breakfast,,,,
Breakfast Empanadas (2 empanadas),إمباناداس إفطار (2 إمباناداس),450,20,25,40,"Two whole wheat empanadas (approx. 100g total) filled with scrambled eggs (2), ground beef (50g lean), and vegetables (30g onions, peppers). Baked or air-fried.","اثنان من الإمباناداس القمح الكامل (حوالي 100 جرام إجمالي) محشوة بالبيض المخفوق (2) واللحم البقري المفروم (50 جرام قليل الدهن) والخضروات (30 جرام بصل، فلفل). مخبوزة أو مقلية بالهواء.",latin_american,2 empanadas serving,2 وجبة إمباناداس,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,latin_american",,,breakfast,,,,
Breakfast Quiche (1 slice),كيش إفطار (1 شريحة),400,20,30,15,"Quiche slice (approx. 150g) with egg custard, spinach (50g), mushrooms (30g), and cheddar cheese (30g). Made with whole wheat crust.",شريحة كيش (حوالي 150 جرام) مع كاسترد البيض والسبانخ (50 جرام) والفطر (30 جرام) وجبن الشيدر (30 جرام). مصنوعة من قشرة القمح الكامل.,french,1 slice quiche,1 شريحة كيش,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,high-fat,moderate-carb,breakfast,french",,,breakfast,,,,
Breakfast Strata (1 slice),ستراتا إفطار (1 شريحة),380,18,20,35,"Slice of breakfast strata (approx. 150g) made with whole wheat bread cubes, eggs, cheese (30g), sausage (30g), and vegetables (peppers, onions). Baked casserole style.","شريحة من ستراتا الإفطار (حوالي 150 جرام) مصنوعة من مكعبات خبز القمح الكامل والبيض والجبن (30 جرام) والنقانق (30 جرام) والخضروات (فلفل، بصل). خزفي مخبوز.",american,1 slice strata,1 شريحة ستراتا,No bread suggested,لا يقترح خبز,"moderate-protein,moderate-fat,moderate-carb,breakfast,casserole",,,breakfast,,,,
Breakfast Bowls with Sweet Potato and Egg (350g),أوعية إفطار مع بطاطا حلوة وبيض (350 جرام),320,15,12,40,"Breakfast bowl with roasted sweet potato cubes (150g), black beans (50g), fried egg (1), and avocado (30g).",وعاء إفطار مع مكعبات بطاطا حلوة مشوية (150 جرام) وفاصوليا سوداء (50 جرام) وبيض مقلي (1) وأفوكادو (30 جرام).,american,350g bowl,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,bowl",,,breakfast,,,,
Breakfast Hash with Turkey and Vegetables (350g),هاش إفطار مع ديك رومي وخضروات (350 جرام),300,25,10,30,"Breakfast hash made with diced turkey breast (100g), sweet potatoes (100g), onions (50g), and peppers (50g). Sautéed until browned.",هاش إفطار مصنوع من مكعبات صدر ديك رومي (100 جرام) وبطاطا حلوة (100 جرام) وبصل (50 جرام) وفلفل (50 جرام). مقلي حتى يصبح لونها بنياً.,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,breakfast,hash",,,breakfast,,,,
Breakfast Skillet with Chorizo and Potatoes (400g),مقلاة إفطار مع كوريزو وبطاطس (400 جرام),450,22,28,30,"Breakfast skillet with chorizo sausage (80g), diced potatoes (150g), onions (50g), peppers (50g), and topped with a fried egg (1).",مقلاة إفطار مع نقانق الكوريزو (80 جرام) وبطاطس مقطعة (150 جرام) وبصل (50 جرام) وفلفل (50 جرام) ومغطاة ببيض مقلي (1).,spanish/american,400g skillet,400 جرام مقلاة,No bread suggested,لا يقترح خبز,"moderate-protein,high-fat,moderate-carb,breakfast,skillet,spanish",,,breakfast,,,,
Breakfast Casserole with Sausage and Cheese (1 cup),طاجن إفطار مع نقانق وجبن (1 كوب),420,25,30,20,"Breakfast casserole (1 cup - approx. 250g) with eggs, sausage (80g), cheese (cheddar - 30g), and bread cubes. Baked until golden.",طاجن إفطار (1 كوب - حوالي 250 جرام) مع البيض والنقانق (80 جرام) والجبن (شيدر - 30 جرام) ومكعبات الخبز. مخبوز حتى يصبح لونها ذهبياً.,american,1 cup casserole,1 كوب طاجن,No bread suggested,لا يقترح خبز,"moderate-protein,high-fat,moderate-carb,breakfast,casserole",,,breakfast,,,,
Breakfast Muffins (Savory - 2 muffins),مافن إفطار (مالح - 2 مافن),350,18,20,25,"Savory breakfast muffins (2 muffins - approx. 120g total) made with whole wheat flour, eggs, cheese (20g), and vegetables (spinach, peppers). Baked until golden.","مافن إفطار مالح (2 مافن - حوالي 120 جرام إجمالي) مصنوع من دقيق القمح الكامل والبيض والجبن (20 جرام) والخضروات (سبانخ، فلفل). مخبوز حتى يصبح لونها ذهبياً.",american,2 muffins,2 مافن,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,muffin",,,breakfast,,,,
Breakfast Scones (Whole Wheat - 1 scone),سكون إفطار (قمح كامل - 1 سكون),320,8,15,40,"Whole wheat breakfast scone (1 scone - approx. 80g) with fruit (raisins, cranberries) and nuts.","سكون إفطار قمح كامل (1 سكون - حوالي 80 جرام) مع الفاكهة (زبيب، توت بري) والمكسرات.",british/american,1 scone,1 سكون,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,scone",,,breakfast,,,,
Breakfast Biscuits (Whole Wheat - 2 biscuits),بسكويت إفطار (قمح كامل - 2 بسكويت),360,10,18,40,Two whole wheat breakfast biscuits (approx. 100g total) served with a side of fruit (30g).,اثنان من بسكويت الإفطار القمح الكامل (حوالي 100 جرام إجمالي) تقدم مع طبق جانبي من الفاكهة (30 جرام).,american,2 biscuits,2 بسكويت,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,biscuit",,,breakfast,,,,
Breakfast Rolls (Whole Wheat - 1 roll),لفائف إفطار (قمح كامل - 1 لفة),300,7,12,40,Whole wheat breakfast roll (1 roll - approx. 70g) with a light spread of butter or jam (optional).,لفة إفطار قمح كامل (1 لفة - حوالي 70 جرام) مع دهن خفيف من الزبدة أو المربى (اختياري).,american,1 roll,1 لفة,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,moderate-carb,breakfast,roll",,,breakfast,,,,
