name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,bread_suggestion_english,bread_suggestion_arabic,tags,meal
Chicken Souvlaki Plate (No Pita),طبق سوفلاكي دجاج (بدون بيتا),480,50,28,12,"Grilled chicken souvlaki skewers (2 skewers - 150g chicken) served with a Greek salad (150g - tomatoes, cucumbers, onions, feta, olives).","أسياخ سوفلاكي دجاج مشوية (2 سيخ - 150 جرام دجاج) تقدم مع سلطة يونانية (150 جرام - طماطم، خيار، بصل، فيتا، زيتون).",american,300g serving,300 جرام للوجبة,No bread suggested (plate style),لا يقترح خبز (طبق بدون خبز),"high-protein,moderate-fat,low-carb,lunch,greek",american
Tuna Nicoise Salad,سلطة نيسواز بالتونة,450,35,25,20,"Tuna Nicoise Salad: Canned tuna (120g in olive oil), mixed greens, hard-boiled egg (1), olives, green beans, potatoes, tomatoes, and vinaigrette.","سلطة نيسواز بالتونة: تونة معلبة (120 جرام في زيت الزيتون)، خضروات مشكلة، بيضة مسلوقة (1)، زيتون، فاصوليا خضراء، بطاطس، طماطم، وصلصة فينيجريت.",american,400g serving,400 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,moderate-carb,lunch,salad,french",american
Chicken and Spinach Stuffed Sweet Potato,بطاطا حلوة محشوة بالدجاج والسبانخ,400,35,15,40,"Baked sweet potato (1 medium) stuffed with shredded chicken (100g), sautéed spinach (50g), and a sprinkle of feta cheese.","بطاطا حلوة مخبوزة (1 متوسطة) محشوة بالدجاج المفروم (100 جرام)، سبانخ مقلية (50 جرام)، ورشة جبنة فيتا.",american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,lunch",american
Shrimp and Avocado Salad (Low Carb),سلطة روبيان وأفوكادو (قليلة الكربوهيدرات),350,30,25,10,"Grilled shrimp (150g) over mixed greens with avocado (1/2 medium - 70g), cucumber, red onion, and a lemon-dill dressing.","روبيان مشوي (150 جرام) فوق الخضروات المشكلة مع أفوكادو (1/2 متوسط - 70 جرام)، خيار، بصل أحمر، وصلصة ليمون وشبت.",american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,very-low-carb,lunch,salad",american
Vegetarian Chili with Cornbread (1 slice),تشيلي نباتي مع خبز الذرة (1 شريحة),420,18,15,60,"Vegetarian chili (300g - beans, tomatoes, corn, peppers, spices) served with 1 slice of cornbread (50g).","تشيلي نباتي (300 جرام - فاصوليا، طماطم، ذرة، فلفل، توابل) يقدم مع شريحة خبز الذرة (50 جرام).",american,350g serving,350 جرام للوجبة,Already includes bread (cornbread),يحتوي بالفعل على خبز (خبز الذرة),"vegetarian,moderate-protein,moderate-fat,high-carb,lunch,chili",american
Chicken Fajita Salad (No Tortilla),سلطة فاهيتا دجاج (بدون تورتيلا),380,40,15,25,"Grilled chicken fajita strips (150g) over mixed greens with sautéed bell peppers and onions (150g), salsa, and a dollop of Greek yogurt.","شرائح فاهيتا دجاج مشوية (150 جرام) فوق الخضروات المشكلة مع فلفل رومي وبصل مقلي (150 جرام)، صلصة، وملعقة كبيرة من الزبادي اليوناني.",american,350g serving,350 جرام للوجبة,No bread suggested (salad style),لا يقترح خبز (طبق سلطة),"high-protein,moderate-fat,low-carb,lunch,salad",american
Steak Salad with Blue Cheese Dressing,سلطة ستيك مع صلصة الجبن الأزرق,500,45,30,15,"Grilled steak slices (150g sirloin) over mixed greens with tomatoes, red onion, blue cheese dressing (30ml), and crumbled blue cheese (15g).","شرائح ستيك مشوية (150 جرام سيرلوين) فوق الخضروات المشكلة مع طماطم، بصل أحمر، صلصة الجبن الأزرق (30 مل)، وجبن أزرق مفتت (15 جرام).",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,lunch,salad",american
Chicken and Black Bean Burrito Bowl (No Rice),وعاء بوريتو دجاج وفاصوليا سوداء (بدون أرز),400,40,18,25,"Grilled chicken (150g) with black beans (100g), salsa, avocado (30g), corn, and bell peppers in a bowl (no rice).","دجاج مشوي (150 جرام) مع فاصوليا سوداء (100 جرام)، صلصة، أفوكادو (30 جرام)، ذرة، وفلفل رومي في وعاء (بدون أرز).",american,350g serving,350 جرام للوجبة,No bread suggested (bowl style),لا يقترح خبز (طبق وعاء),"high-protein,moderate-fat,low-carb,lunch,bowl",american
Turkey Meatloaf with Roasted Vegetables,رغيف لحم ديك رومي مع خضروات مشوية,480,40,25,20,"Turkey meatloaf (1 slice - 150g) made with lean ground turkey and served with roasted root vegetables (200g - carrots, potatoes, parsnips).","رغيف لحم ديك رومي (1 شريحة - 150 جرام) مصنوع من لحم ديك رومي مفروم قليل الدهن ويقدم مع خضروات جذرية مشوية (200 جرام - جزر، بطاطس، جزر أبيض).",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,low-carb,lunch",american
Lentil and Vegetable Curry with Brown Rice,كاري العدس والخضروات مع أرز بني,400,15,10,60,"Lentil and vegetable curry (300g - lentils, mixed vegetables, coconut milk, curry spices) served with 100g brown rice.","كاري العدس والخضروات (300 جرام - عدس، خضروات مشكلة، حليب جوز الهند، توابل الكاري) يقدم مع 100 جرام أرز بني.",american,400g serving,400 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"vegetarian,vegan,moderate-protein,low-fat,high-carb,lunch,indian",american
Chicken and Vegetable Curry with Brown Rice,كاري دجاج وخضروات مع أرز بني,450,30,15,50,"Chicken and vegetable curry (300g - chicken, mixed vegetables, coconut milk, curry spices) served with 100g brown rice.","كاري دجاج وخضروات (300 جرام - دجاج، خضروات مشكلة، حليب جوز الهند، توابل الكاري) يقدم مع 100 جرام أرز بني.",american,400g serving,400 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,indian",american
Shrimp Curry with Brown Rice,كاري روبيان مع أرز بني,420,28,12,55,"Shrimp curry (300g - shrimp, coconut milk, tomatoes, onions, curry spices) served with 100g brown rice.","كاري روبيان (300 جرام - روبيان، حليب جوز الهند، طماطم، بصل، توابل الكاري) يقدم مع 100 جرام أرز بني.",american,400g serving,400 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,indian",american
Tofu and Vegetable Curry with Brown Rice,كاري توفو وخضروات مع أرز بني,380,16,10,58,"Tofu and vegetable curry (300g - tofu, mixed vegetables, coconut milk, curry spices) served with 100g brown rice.","كاري توفو وخضروات (300 جرام - توفو، خضروات مشكلة، حليب جوز الهند، توابل الكاري) يقدم مع 100 جرام أرز بني.",american,400g serving,400 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"vegetarian,vegan,moderate-protein,low-fat,high-carb,lunch,indian",american
Chicken Stir-fry with Noodles (Whole Wheat),دجاج مقلي مع نودلز (قمح كامل),500,35,18,55,Chicken strips (150g) stir-fried with mixed vegetables (200g) and whole wheat noodles (100g cooked) in a soy-ginger sauce.,شرائح دجاج (150 جرام) مقلية مع خضروات مشكلة (200 جرام) ونودلز قمح كامل (100 جرام مطبوخة) في صلصة صويا وزنجبيل.,american,450g serving,450 جرام للوجبة,No bread suggested (noodles included),لا يقترح خبز (النودلز مشمولة),"high-protein,moderate-fat,moderate-carb,lunch,stir-fry",american
Shrimp Stir-fry with Noodles (Whole Wheat),روبيان مقلي مع نودلز (قمح كامل),480,33,15,58,Shrimp (150g) stir-fried with mixed vegetables (200g) and whole wheat noodles (100g cooked) in a garlic-soy sauce.,روبيان (150 جرام) مقلي مع خضروات مشكلة (200 جرام) ونودلز قمح كامل (100 جرام مطبوخة) في صلصة ثوم وصويا.,american,450g serving,450 جرام للوجبة,No bread suggested (noodles included),لا يقترح خبز (النودلز مشمولة),"high-protein,moderate-fat,moderate-carb,lunch,stir-fry",american
Tofu Stir-fry with Noodles (Whole Wheat),توفو مقلي مع نودلز (قمح كامل),430,20,12,60,Tofu (120g) stir-fried with mixed vegetables (200g) and whole wheat noodles (100g cooked) in a peanut sauce.,توفو (120 جرام) مقلي مع خضروات مشكلة (200 جرام) ونودلز قمح كامل (100 جرام مطبوخة) في صلصة الفول السوداني.,american,420g serving,420 جرام للوجبة,No bread suggested (noodles included),لا يقترح خبز (النودلز مشمولة),"vegetarian,vegan,moderate-protein,moderate-fat,high-carb,lunch,stir-fry",american
Chicken and Vegetable Soup (Hearty),شوربة دجاج وخضروات (دسمة),350,30,10,35,"Hearty chicken and vegetable soup (350ml - chicken, mixed vegetables, broth).","شوربة دجاج وخضروات دسمة (350 مل - دجاج، خضروات مشكلة، مرقة).",american,350ml serving,350 مل للوجبة,No bread suggested,لا يقترح خبز,"high-protein,low-fat,moderate-carb,lunch,soup",american
Beef and Vegetable Soup (Hearty),شوربة لحم بقري وخضروات (دسمة),400,35,15,30,"Hearty beef and vegetable soup (350ml - lean beef, mixed vegetables, broth).","شوربة لحم بقري وخضروات دسمة (350 مل - لحم بقري قليل الدهن، خضروات مشكلة، مرقة).",american,350ml serving,350 مل للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,lunch,soup",american
Turkey and White Bean Chili,تشيلي ديك رومي وفاصوليا بيضاء,450,40,15,40,"Turkey and white bean chili (350g - ground turkey, white beans, tomatoes, peppers, spices).","تشيلي ديك رومي وفاصوليا بيضاء (350 جرام - ديك رومي مفروم، فاصوليا بيضاء، طماطم، فلفل، توابل).",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,lunch,chili",american
Chicken and Corn Chowder,تشاو��ر دجاج وذرة,420,35,20,35,"Chicken and corn chowder (350ml - chicken, corn, potatoes, milk, vegetables).","تشاو��ر دجاج وذرة (350 مل - دجاج، ذرة، بطاطس، حليب، خضروات).",american,350ml serving,350 مل للوجبة,No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,moderate-carb,lunch,soup",american
Tuna Melt (Whole Wheat Bread),تونة ميلت (خبز قمح كامل),400,30,20,30,Tuna melt sandwich (1 sandwich) on whole wheat bread with tuna salad and melted cheese.,ساندويتش تونة ميلت (1 ساندويتش) على خبز قمح كامل مع سلطة التونة والجبن المذاب.,american,1 sandwich serving,1 وجبة ساندويتش,Already includes bread (whole wheat bread),يحتوي بالفعل على خبز (خبز قمح كامل),"high-protein,moderate-fat,moderate-carb,lunch,sandwich",american
Chicken Salad Sandwich (Whole Wheat Bread),ساندويتش سلطة دجاج (خبز قمح كامل),350,28,15,25,"Chicken salad sandwich (1 sandwich) on whole wheat bread with chicken salad (chicken, celery, mayo).","ساندويتش سلطة دجاج (1 ساندويتش) على خبز قمح كامل مع سلطة دجاج (دجاج، كرفس، مايونيز).",american,1 sandwich serving,1 وجبة ساندويتش,Already includes bread (whole wheat bread),يحتوي بالفعل على خبز (خبز قمح كامل),"high-protein,moderate-fat,moderate-carb,lunch,sandwich",american
