name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,tags,meal
Dates (3 Medjool dates),تمر (3 تمرات مجدول),180,1.5,0.3,45,3 Medjool dates (approx. 75g).,3 تمرات مجدول (حوالي 75 جرام).,egyptian/middle_eastern,3 Medjool dates (approx. 75g),3 تمرات مجدول (حوالي 75 جرام),"fruit,high-carb,natural-sugar,snack,portion-controlled",snack
Banana (1 medium),موزة (1 متوسطة),105,1.3,0.4,27,1 medium banana (approx. 120g).,1 موزة متوسطة (حوالي 120 جرام).,american/egyptian,1 medium banana (approx. 120g),1 موزة متوسطة (حوالي 120 جرام),"fruit,low-fat,snack,portion-controlled,potassium-rich",snack
Orange (1 medium),برتقالة (1 متوسطة),62,1.2,0.2,15,1 medium orange (approx. 130g).,1 برتقالة متوسطة (حوالي 130 جرام).,american/egyptian,1 medium orange (approx. 130g),1 برتقالة متوسطة (حوالي 130 جرام),"fruit,low-fat,snack,vitamin-c,portion-controlled",snack
Cucumber and Carrot Sticks (1 cup),أصابع خيار وجزر (1 كوب),60,1,0,12,1 cup (approx. 120g) cucumber and carrot sticks.,1 كوب (حوالي 120 جرام) أصابع خيار وجزر.,american/egyptian,1 cup sticks (approx. 120g),1 كوب أصابع (حوالي 120 جرام),"vegetable,low-fat,snack,fiber-rich,portion-controlled",snack
Small Handful of Mixed Nuts (30g),حفنة صغيرة من المكسرات المشكلة (30 جرام),180,6,16,7,"Approx. 30g of mixed nuts (almonds, walnuts, cashews, etc.).","حوالي 30 جرام من المكسرات المشكلة (لوز، جوز، كاجو، إلخ).",american/mediterranean,30g (small handful),30 جرام (حفنة صغيرة),"nuts,healthy-fat,high-protein,snack,portion-controlled",snack
"Edamame (steamed, 1 cup shelled)","إدامامي (مطبوخ بالبخار, 1 كوب مقشر)",130,13,5,10,"1 cup (approx. 155g) shelled edamame, steamed and lightly salted.","1 كوب (حوالي 155 جرام) إدامامي مقشر، مطبوخ بالبخار ومملح قليلاً.",american/asian,1 cup shelled edamame,1 كوب إدامامي مقشر,"vegan,vegetarian,high-protein,moderate-fat,low-carb,snack,fiber-rich,portion-controlled",snack
Trail Mix (1/4 cup),خليط تريل (ربع كوب),200,5,12,20,"1/4 cup (approx. 30g) trail mix (nuts, seeds, dried fruit - no added candy).","ربع كوب (حوالي 30 جرام) خليط تريل (مكسرات، بذور، فواكه مجففة - بدون حلوى مضافة).",american,1/4 cup (approx. 30g),ربع كوب (حوالي 30 جرام),"nuts,seeds,dried-fruit,healthy-fat,moderate-protein,moderate-carb,snack,portion-controlled",snack
Air-Popped Popcorn with Nutritional Yeast (3 cups),فشار بالهواء مع خميرة غذائية (3 أكواب),120,4,2,23,3 cups (approx. 24g) air-popped popcorn with 1 tablespoon nutritional yeast for cheesy flavor.,3 أكواب (حوالي 24 جرام) فشار بالهواء مع 1 ملعقة كبيرة من الخميرة الغذائية لإضافة نكهة الجبن.,american,3 cups popcorn + nutritional yeast,3 أكواب فشار + خميرة غذائية,"vegan,vegetarian,low-fat,snack,whole-grain,portion-controlled,flavorful",snack
Mini Whole Wheat Pita with Za'atar (1 pita),خبز بيتا قمح كامل صغير بالزعتر (1 خبز بيتا),150,5,4,25,1 mini whole wheat pita bread (approx. 40g) sprinkled with za'atar and olive oil (1 tsp).,1 خبز بيتا قمح كامل صغير (حوالي 40 جرام) مرشوش بالزعتر وزيت الزيتون (1 ملعقة صغيرة).,egyptian/middle_eastern,1 mini pita,1 خبز بيتا صغير,"vegetarian,moderate-protein,moderate-fat,moderate-carb,snack,portion-controlled,mediterranean",snack
"Labneh Dip with Cucumber Slices (1/4 cup labneh, 1 cucumber)","لبنة مع شرائح الخيار (ربع كوب لبنة, 1 خيارة)",160,6,12,8,1/4 cup (approx. 60g) labneh dip served with 1 medium cucumber sliced.,ربع كوب (حوالي 60 جرام) لبنة تقدم مع 1 خيارة متوسطة مقطعة شرائح.,egyptian/middle_eastern,1/4 cup labneh + 1 cucumber,ربع كوب لبنة + 1 خيارة,"vegetarian,moderate-protein,high-fat,low-carb,snack,portion-controlled,mediterranean",snack
Hummus with Carrot and Cucumber Sticks,حمص مع أصابع جزر وخيار,200,8,10,20,Hummus (2 tbsp - approx. 30g) served with carrot and cucumber sticks (1 cup - approx. 100g).,حمص (2 ملعقة كبيرة - حوالي 30 جرام) يقدم مع أصابع جزر وخيار (1 كوب - حوالي 100 جرام).,egyptian/mediterranean,2 tbsp Hummus + 1 cup Veggies,2 ملعقة كبيرة حمص + 1 كوب خضار,"vegan,vegetarian,high-protein,moderate-fat,moderate-carb,snack,fiber-rich",snack
Cheese and Whole Wheat Crackers,جبنة مع بسكويت قمح كامل,250,12,15,22,Cheddar cheese slices (30g) served with whole wheat crackers (approx. 30g).,شرائح جبنة شيدر (30 جرام) تقدم مع بسكويت قمح كامل (حوالي 30 جرام).,american,30g Cheese + 30g Crackers,30 جرام جبنة + 30 جرام بسكويت,"dairy,moderate-protein,moderate-fat,moderate-carb,snack,portion-controlled",snack
Protein Bar (Homemade),بار بروتين (صنع منزلي),220,20,8,18,"Homemade protein bar (approx. 50g) with whey protein, oats, nuts, and seeds.","بار بروتين منزلي (حوالي 50 جرام) مصنوع من بروتين مصل اللبن، شوفان، مكسرات، وبذور.",american,1 bar (approx. 50g),1 بار (حوالي 50 جرام),"high-protein,moderate-fat,moderate-carb,snack,homemade",snack
"Edamame Pods (steamed, 1 cup)","قرون إدامامي (مطبوخة بالبخار، 1 كوب)",100,10,4,8,"1 cup (approx. 90g) steamed edamame pods, lightly salted.","1 كوب (حوالي 90 جرام) قرون إدامامي مطبوخة بالبخار، مملحة قليلاً.",american/asian,1 cup pods (approx. 90g),1 كوب قرون (حوالي 90 جرام),"vegan,vegetarian,high-protein,moderate-fat,low-carb,snack,fiber-rich,portion-controlled",snack
String Cheese (1 stick),إصبع جبنة (1 إصبع),80,7,5,1,1 stick of part-skim mozzarella string cheese (approx. 28g).,1 إصبع من جبنة الموزاريلا الخفيفة (حوالي 28 جرام).,american,1 cheese stick (approx. 28g),1 إصبع جبنة (حوالي 28 جرام),"dairy,high-protein,moderate-fat,very-low-carb,snack,portion-controlled",snack
Turkey Jerky (30g),لحم بقري مجفف (30 جرام),100,18,2,2,30g serving of lean turkey jerky.,30 جرام من لحم الديك الرومي المجفف قليل الدهن.,american,30g serving,30 جرام للوجبة,"high-protein,low-fat,very-low-carb,snack,portion-controlled",snack
Greek Yogurt with Berries (170g cup),زبادي يوناني بالتوت (علبة 170 جرام),150,17,0.5,20,170g container of plain Greek yogurt with 1/2 cup mixed berries (approx. 75g).,علبة 170 جرام من الزبادي اليوناني العادي مع نصف كوب من التوت المشكل (حوالي 75 جرام).,american/mediterranean,170g cup + 1/2 cup berries,علبة 170 جرام + نصف كوب توت,"dairy,high-protein,low-fat,snack,portion-controlled",snack
"Celery Sticks with Almond Butter (2 stalks, 1 tbsp AB)","أعواد كرفس بزبدة اللوز (2 ساق, 1 ملعقة كبيرة زبدة لوز)",180,4,15,8,2 celery stalks (approx. 60g) filled with 1 tablespoon of almond butter (approx. 16g).,2 ساق كرفس (حوالي 60 جرام) محشوة بـ 1 ملعقة كبيرة من زبدة اللوز (حوالي 16 جرام).,american,2 celery stalks + 1 tbsp AB,2 ساق كرفس + 1 ملعقة كبيرة زبدة لوز,"vegetable,nuts,healthy-fat,snack,portion-controlled",snack
Spiced Roasted Chickpeas (1/2 cup),حمص محمص متبل (نصف كوب),160,7,5,25,"1/2 cup (approx. 80g) roasted chickpeas seasoned with cumin, paprika, and salt.",نصف كوب (حوالي 80 جرام) حمص محمص متبل بالكمون والبابريكا والملح.,egyptian/middle_eastern,1/2 cup roasted chickpeas,نصف كوب حمص محمص,"vegan,vegetarian,high-protein,moderate-fat,moderate-carb,snack,fiber-rich,portion-controlled",snack
"Sunflower Seeds (in shell, 1/4 cup)","بذور عباد الشمس (بالقشرة، ربع كوب)",165,5,14,6,1/4 cup (approx. 35g) sunflower seeds in shell (for mindful snacking).,ربع كوب (حوالي 35 جرام) بذور عباد الشمس بالقشرة (لتناول وجبات خفيفة بوعي).,american,1/4 cup in shell,ربع كوب بالقشرة,"nuts,seeds,healthy-fat,moderate-protein,low-carb,snack,portion-controlled,mindful-snacking",snack
"Pumpkin Seeds (roasted, 1/4 cup)","بذور اليقطين (محمصة، ربع كوب)",150,7,13,5,"1/4 cup (approx. 30g) roasted pumpkin seeds, lightly salted.","ربع كوب (حوالي 30 جرام) بذور اليقطين محمصة، مملحة قليلاً.",american,1/4 cup roasted seeds,ربع كوب بذور محمصة,"nuts,seeds,healthy-fat,high-protein,low-carb,snack,portion-controlled",snack
"Flax Seeds (ground, 2 tbsp)","بذور الكتان (مطحونة، 2 ملعقة كبيرة)",100,4,8,6,2 tablespoons (approx. 14g) ground flax seeds. Can be added to yogurt or smoothies.,2 ملاعق كبيرة (حوالي 14 جرام) من بذور الكتان المطحونة. يمكن إضافتها إلى الزبادي أو العصائر.,american,2 tbsp ground flax seeds,2 ملعقة كبيرة بذور الكتان المطحونة,"vegan,vegetarian,high-protein,healthy-fat,low-carb,snack,omega-3,fiber-rich",snack
Chia Seeds Pudding (1/2 cup),بودينغ بذور الشيا (نصف كوب),180,7,10,15,1/2 cup (approx. 120g) chia seed pudding made with milk (dairy or non-dairy) and sweetener (optional).,نصف كوب (حوالي 120 جرام) بودينغ بذور الشيا مصنوع من الحليب (ألبان أو غير ألبان) ومحلي (اختياري).,american,1/2 cup pudding,نصف كوب بودينغ,"vegan,vegetarian,high-protein,healthy-fat,moderate-carb,snack,omega-3,fiber-rich",snack
"Protein Shake (Ready-to-drink, 30g protein)",مشروب بروتين جاهز (30 جرام بروتين),180,30,3,8,"One ready-to-drink protein shake (approx. 350ml) with 30g of protein, low carb variety.","مشروب بروتين جاهز للشرب (حوالي 350 مل) يحتوي على 30 جرام من البروتين، نوع قليل الكربوهيدرات.",american,1 shake (approx. 350ml),1 مشروب (حوالي 350 مل),"high-protein,low-fat,very-low-carb,snack,dairy-optional,portion-controlled",snack
Beef Biltong (30g),بيلتونغ بقري (30 جرام),120,20,3,1,"30g serving of beef biltong (South African style dried, cured meat).",30 جرام من بيلتونغ بقري (لحم مجفف معالج على طريقة جنوب أفريقيا).,american/south_african,30g serving,30 جرام للوجبة,"high-protein,low-fat,very-low-carb,snack,portion-controlled,keto-friendly",snack
"Tuna Pouch (in water, 1 pouch)","كيس تونة (في الماء، 1 كيس)",70,16,0.5,0,"One pouch (approx. 85g) of tuna in water, drained.","كيس واحد (حوالي 85 جرام) من التونة في الماء، مصفاة.",american,1 pouch (approx. 85g),1 كيس (حوالي 85 جرام),"high-protein,low-fat,very-low-carb,snack,seafood,portion-controlled",snack
"Sardines in Olive Oil (can, drained)","سردين في زيت الزيتون (علبة، مصفاة)",190,20,12,0,"One can (approx. 100g drained) of sardines in olive oil, drained.","علبة واحدة (حوالي 100 جرام مصفاة) من السردين في زيت الزيتون، مصفاة.",mediterranean,1 can (approx. 100g drained),1 علبة (حوالي 100 جرام مصفاة),"high-protein,high-fat,very-low-carb,snack,seafood,omega-3,portion-controlled",snack
"Cheese Cubes (cheddar, 30g)","مكعبات جبنة (شيدر، 30 جرام)",120,7,10,1,Approx. 30g of cheddar cheese cubes (about 1 ounce).,حوالي 30 جرام من مكعبات جبنة شيدر (حوالي 1 أونصة).,american,30g cubes,30 جرام مكعبات,"dairy,high-protein,high-fat,very-low-carb,snack,portion-controlled,keto-friendly",snack
Olives (10 large),زيتون (10 حبات كبيرة),50,0,5,2,10 large olives (approx. 40g).,10 حبات زيتون كبيرة (حوالي 40 جرام).,mediterranean,10 large olives (approx. 40g),10 حبات زيتون كبيرة (حوالي 40 جرام),"healthy-fat,low-carb,vegan,vegetarian,snack,portion-controlled,mediterranean",snack
Pickles (2 medium spears),مخلل (2 حبة متوسطة),20,0,0,4,2 medium dill pickle spears (approx. 70g).,2 حبة مخلل شبت متوسطة (حوالي 70 جرام).,american,2 spears (approx. 70g),2 حبة (حوالي 70 جرام),"low-calorie,low-fat,very-low-carb,snack,vegan,vegetarian,portion-controlled,fermented",snack
Seaweed Snacks (1 package),وجبات خفيفة من الأعشاب البحرية (1 عبوة),30,1,0.5,5,One package (approx. 5g) of roasted seaweed snacks.,عبوة واحدة (حوالي 5 جرام) من وجبات خفيفة من الأعشاب البحرية المحمصة.,asian,1 package (approx. 5g),1 عبوة (حوالي 5 جرام),"low-calorie,low-fat,very-low-carb,snack,vegan,vegetarian,portion-controlled,iodine-rich",snack
Beef Broth (1 cup),مرقة لحم بقري (1 كوب),50,10,1,1,1 cup (240ml) of warm beef broth (low sodium).,1 كوب (240 مل) من مرقة اللحم الدافئة (قليلة الصوديوم).,american,1 cup (240ml),1 كوب (240 مل),"high-protein,low-fat,very-low-carb,snack,soup,portion-controlled",snack
Chicken Broth (1 cup),مرقة دجاج (1 كوب),40,8,0.5,0.5,1 cup (240ml) of warm chicken broth (low sodium).,1 كوب (240 مل) من مرقة الدجاج الدافئة (قليلة الصوديوم).,american,1 cup (240ml),1 كوب (240 مل),"high-protein,low-fat,very-low-carb,snack,soup,portion-controlled",snack
Bone Broth (1 cup),مرقة عظام (1 كوب),60,12,2,2,1 cup (240ml) of warm bone broth.,1 كوب (240 مل) من مرقة العظام الدافئة.,american,1 cup (240ml),1 كوب (240 مل),"high-protein,low-fat,very-low-carb,snack,soup,portion-controlled,collagen-rich",snack
Parmesan Crisps (1/2 cup),رقائق بارميزان مقرمشة (نصف كوب),150,15,10,2,1/2 cup (approx. 30g) baked parmesan crisps.,نصف كوب (حوالي 30 جرام) رقائق بارميزان مقرمشة مخبوزة.,italian,1/2 cup crisps,نصف كوب رقائق مقرمشة,"dairy,high-protein,high-fat,very-low-carb,snack,portion-controlled,keto-friendly",snack
"Cherry Tomatoes with Mozzarella Balls (1 cup tomatoes, 5 balls)","طماطم كرزية مع كرات موزاريلا (1 كوب طماطم، 5 كرات)",200,10,15,5,1 cup cherry tomatoes (approx. 150g) with 5 small mozzarella balls (approx. 30g).,1 كوب طماطم كرزية (حوالي 150 جرام) مع 5 كرات موزاريلا صغيرة (حوالي 30 جرام).,italian,1 cup tomatoes + 5 mozzarella balls,1 كوب طماطم + 5 كرات موزاريلا,"vegetarian,moderate-protein,high-fat,low-carb,snack,portion-controlled,mediterranean",snack
Babybel Cheese (1 mini cheese),جبنة بيبي بل (1 جبنة صغيرة),70,5,6,0,1 mini Babybel cheese (approx. 22g).,1 جبنة بيبي بل صغيرة (حوالي 22 جرام).,french,1 mini cheese (approx. 22g),1 جبنة صغيرة (حوالي 22 جرام),"dairy,high-protein,moderate-fat,very-low-carb,snack,portion-controlled",snack
Kiri Cheese Cubes (4 cubes),مكعبات جبنة كيري (4 مكعبات),140,4,12,4,4 Kiri cheese cubes (approx. 35g).,4 مكعبات جبنة كيري (حوالي 35 جرام).,egyptian,4 cheese cubes (approx. 35g),4 مكعبات جبنة (حوالي 35 جرام),"dairy,moderate-protein,high-fat,low-carb,snack,portion-controlled",snack
Labneh Balls (3 balls),كرات لبنة (3 كرات),220,7,20,4,3 labneh balls in olive oil (approx. 60g).,3 كرات لبنة في زيت الزيتون (حوالي 60 جرام).,egyptian/middle_eastern,3 labneh balls (approx. 60g),3 كرات لبنة (حوالي 60 جرام),"vegetarian,moderate-protein,high-fat,low-carb,snack,portion-controlled,mediterranean",snack
"Feta Cheese Cubes with Cucumber (50g feta, 1/2 cucumber)","مكعبات جبنة فيتا مع خيار (50 جرام فيتا، نصف خيارة)",250,14,20,5,50g feta cheese cubes with 1/2 medium cucumber sliced.,50 جرام مكعبات جبنة فيتا مع نصف خيارة متوسطة مقطعة شرائح.,mediterranean,50g feta + 1/2 cucumber,50 جرام فيتا + نصف خيارة,"vegetarian,high-protein,high-fat,low-carb,snack,portion-controlled,mediterranean",snack
"Halloumi Cheese (grilled, 50g)","جبنة حلوم (مشوية، 50 جرام)",180,14,12,1,50g grilled halloumi cheese slice.,شريحة جبنة حلوم مشوية 50 جرام.,mediterranean,50g grilled cheese,50 جرام جبنة مشوية,"vegetarian,high-protein,high-fat,very-low-carb,snack,portion-controlled,mediterranean,grilled",snack
Smoked Salmon (50g),سلمون مدخن (50 جرام),80,10,4,0,50g serving of smoked salmon slices.,50 جرام من شرائح السلمون المدخن.,american,50g serving,50 جرام للوجبة,"high-protein,moderate-fat,very-low-carb,snack,seafood,omega-3,portion-controlled",snack
"Shrimp (grilled, 100g)","روبيان (مشوي، 100 جرام)",110,22,2,0,100g grilled shrimp (approx. 10-12 medium shrimp).,100 جرام روبيان مشوي (حوالي 10-12 حبة روبيان متوسطة).,american,100g grilled shrimp,100 جرام روبيان مشوي,"high-protein,low-fat,very-low-carb,snack,seafood,portion-controlled",snack
"Chicken Breast Strips (grilled, 100g)","شرائح صدر دجاج (مشوية، 100 جرام)",165,30,3,0,"100g grilled chicken breast strips, seasoned.","100 جرام شرائح صدر دجاج مشوية، متبلة.",american,100g grilled chicken strips,100 جرام شرائح صدر دجاج مشوية,"high-protein,low-fat,very-low-carb,snack,portion-controlled",snack
"Lean Beef Strips (grilled, 100g)","شرائح لحم بقري قليل الدهن (مشوية، 100 جرام)",180,32,5,0,"100g grilled lean beef strips, seasoned.","100 جرام شرائح لحم بقري قليل الدهن مشوية، متبلة.",american,100g grilled beef strips,100 جرام شرائح لحم بقري قليل الدهن مشوية,"high-protein,moderate-fat,very-low-carb,snack,portion-controlled",snack
"Tofu Cubes (baked, 100g)","مكعبات توفو (مخبوزة، 100 جرام)",140,15,8,2,"100g baked firm tofu cubes, seasoned with soy sauce and spices.","100 جرام مكعبات توفو متماسكة مخبوزة، متبلة بصلصة الصويا والتوابل.",american/asian,100g baked tofu cubes,100 جرام مكعبات توفو مخبوزة,"vegan,vegetarian,high-protein,moderate-fat,low-carb,snack,portion-controlled",snack
Greek Yogurt (High Protein - 200g),زبادي يوناني (عالي البروتين - 200 جرام),150,20,0,15,200g container of non-fat Greek yogurt.,علبة 200 جرام من الزبادي اليوناني الخالي من الدسم.,american/mediterranean,200g cup,علبة 200 جرام,"dairy,high-protein,low-fat,snack,portion-controlled",snack
Canned Salmon (100g),سلمون معلب (100 جرام),150,25,5,0,"100g canned salmon, drained (skinless and boneless).","100 جرام سلمون معلب، مصفى (بدون جلد وعظم).",american,100g canned salmon,100 جرام سلمون معلب,"high-protein,moderate-fat,very-low-carb,snack,seafood,portion-controlled,omega-3",snack
Canned Chicken (100g),دجاج معلب (100 جرام),160,30,3.5,0,"100g canned chicken breast, drained.","100 جرام صدر دجاج معلب، مصفى.",american,100g canned chicken,100 جرام دجاج معلب,"high-protein,low-fat,very-low-carb,snack,portion-controlled",snack
Hard Boiled Eggs (3 whites),بيض مسلوق (3 بياض),50,10,0,1,3 large hard-boiled egg whites.,3 بياض بيض مسلوق كبير.,egyptian/american,3 egg whites,3 بياض بيض,"high-protein,very-low-fat,very-low-carb,snack,portion-controlled",snack
"Parmesan Cheese Crisps (Large, 2 pieces)",رقائق جبنة بارميزان كبيرة (2 قطعة),220,22,15,2,2 large baked parmesan cheese crisps (approx. 45g).,2 رقائق جبنة بارميزان كبيرة مخبوزة (حوالي 45 جرام).,italian,2 large crisps (approx. 45g),2 رقائق كبيرة (حوالي 45 جرام),"dairy,high-protein,high-fat,very-low-carb,snack,portion-controlled,keto-friendly",snack
Spiced Beef Jerky (2 oz),لحم بقري مجفف متبل (2 أوقية),160,26,4,4,2 oz (approx. 56g) serving of spiced beef jerky.,2 أوقية (حوالي 56 جرام) من لحم البقر المجفف المتبل.,american,2 oz serving,2 أوقية للوجبة,"high-protein,low-fat,very-low-carb,snack,portion-controlled,keto-friendly,spicy",snack
High-Protein Energy Balls (2 balls),كرات طاقة عالية البروتين (2 كرات),280,15,18,15,"2 homemade energy balls (approx. 60g total) made with protein powder, oats, peanut butter, and seeds.",2 كرات طاقة منزلية الصنع (حوالي 60 جرام إجمالي) مصنوعة من مسحوق البروتين والشوفان وزبدة الفول السوداني والبذور.,american,2 energy balls (approx. 60g),2 كرات طاقة (حوالي 60 جرام),"high-protein,moderate-fat,moderate-carb,snack,homemade,portion-controlled",snack
"Whey Protein Isolate Shake (1 scoop, water-based)","مشروب بروتين مصل اللبن المعزول (1 مغرفة، مائي)",120,25,0.5,3,Protein shake made with 1 scoop (approx. 30g) whey protein isolate powder and water (250ml).,مشروب بروتين مصنوع من 1 مغرفة (حوالي 30 جرام) مسحوق بروتين مصل اللبن المعزول والماء (250 مل).,american,1 shake (250ml),1 مشروب (250 مل),"high-protein,very-low-fat,very-low-carb,snack,dairy,portion-controlled",snack
"Chicken Breast Bites (baked, 100g)","قطع صدر دجاج (مخبوزة، 100 جرام)",170,32,3,1,"100g baked chicken breast bites, lightly seasoned.","100 جرام قطع صدر دجاج مخبوزة، متبلة قليلاً.",american,100g bites,100 جرام قطع,"high-protein,low-fat,very-low-carb,snack,portion-controlled",snack
"Ground Beef Bites (lean, baked, 100g)","قطع لحم بقري مفروم (قليل الدهن، مخبوزة، 100 جرام)",220,35,8,0,"100g baked lean ground beef bites, seasoned.","100 جرام قطع لحم بقري مفروم قليل الدهن مخبوزة، متبلة.",american,100g bites,100 جرام قطع,"high-protein,moderate-fat,very-low-carb,snack,portion-controlled,keto-friendly",snack
"Tofu Bites (air-fried, 100g)","قطع توفو (مقلية بالهواء، 100 جرام)",160,17,9,3,"100g air-fried firm tofu bites, seasoned with soy sauce and ginger.","100 جرام قطع توفو متماسكة مقلية بالهواء، متبلة بصلصة الصويا والزنجبيل.",american/asian,100g bites,100 جرام قطع,"vegan,vegetarian,high-protein,moderate-fat,low-carb,snack,portion-controlled",snack
High-Protein Cottage Cheese Bowl (200g),وعاء جبنة قريش عالي البروتين (200 جرام),200,30,0.5,15,200g bowl of non-fat cottage cheese.,وعاء 200 جرام من جبنة قريش خالية من الدسم.,american,200g bowl,200 جرام للوجبة,"dairy,high-protein,low-fat,snack,portion-controlled",snack
"Greek Yogurt Parfait (small, 250g)","بارفيه زبادي يوناني (صغير، 250 جرام)",300,25,8,30,"Small parfait with layers of Greek yogurt (150g), granola (50g), and berries (50g).","بارفيه صغير بطبقات من الزبادي اليوناني (150 جرام)، جرانولا (50 جرام)، والتوت (50 جرام).",american/mediterranean,250g parfait,250 جرام بارفيه,"dairy,high-protein,moderate-fat,moderate-carb,snack,portion-controlled",snack
"Protein Chia Pudding (small, 200g)","بودينغ بروتين الشيا (صغير، 200 جرام)",300,15,15,20,"Small chia pudding (200g) made with milk, chia seeds, and added protein powder (1 scoop whey).",بودينغ شيا صغير (200 جرام) مصنوع من الحليب وبذور الشيا ومسحوق البروتين المضاف (1 مغرفة مصل اللبن).,american,200g pudding,200 جرام بودينغ,"dairy-optional,high-protein,moderate-fat,moderate-carb,snack,portion-controlled,fiber-rich",snack
